pair_id,conversation_hash,source,theme,message_index,user_turn_index,n_user_turns,is_target,fold,score,text_chars
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,0,0,13,False,1,0.8509629964828491,417
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,1,1,13,False,1,0.3879148364067077,348
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,2,2,13,False,1,0.1965556740760803,13
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,3,3,13,False,1,0.7096133828163147,288
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,4,4,13,False,1,0.7705175280570984,604
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,5,5,13,False,1,0.843220055103302,516
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,6,6,13,False,1,0.544962465763092,624
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,7,7,13,False,1,0.7602857351303101,121
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,8,8,13,False,1,0.8047398328781128,793
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,9,9,13,False,1,0.6294112205505371,455
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,10,10,13,False,1,0.5786103010177612,737
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,11,11,13,False,1,0.252251386642456,66
d391ef955bbdc49dbba74ef9ebbbf765ce313feac87975bb872b6afa5a0f4a0e,1aab3d95b86c4317044ce9ccce194d3b8400ffc2ee5c54bc61d03862c44f04b9,sharechat_chatgpt,persecutory,12,12,13,True,1,0.8114333152770996,1722
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,0,0,23,False,0,0.0990091860294342,196
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,2,1,23,False,0,0.3747200071811676,66
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,4,2,23,False,0,0.2018266320228576,97
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,6,3,23,False,0,0.2956690788269043,122
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,8,4,23,False,0,0.1802946031093597,156
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,10,5,23,False,0,0.1073761060833931,292
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,12,6,23,False,0,0.4098726511001587,116
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,14,7,23,False,0,0.4091493785381317,197
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,16,8,23,False,0,0.3905052244663238,344
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,18,9,23,False,0,0.1228903457522392,103
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,20,10,23,False,0,0.1513014435768127,1061
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,22,11,23,False,0,0.5480906367301941,138
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,24,12,23,False,0,0.6113433837890625,563
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,26,13,23,False,0,0.4077206552028656,256
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,28,14,23,False,0,0.705764651298523,1090
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,30,15,23,False,0,0.3561329245567322,114
a114334a82387134c09a654519a6a27f712f0dc7e1b14d743278b72eac0df073,dac630273f76c21e9ff9cea1246dba756732e0a818b0d8fbcc92caf59382ad1e,wildchat_full,unclear_or_no_delusional_theme,32,16,23,False,0,0.4306873679161072,625
