pair_id,conversation_hash,condition,label,source,theme,language,fold,score,text_chars
0006b2b9ecbbed4de891d929791e78130d08406389d67e70e8b792768c9a1725,83ed78505c1c14565a3835b94ff822a9f4a3515cabd06ea14b299ef83fc2d453,delusion,1,sharechat_grok,grandiose,ENGLISH,1,0.6914430856704712,608
0006b2b9ecbbed4de891d929791e78130d08406389d67e70e8b792768c9a1725,83ed78505c1c14565a3835b94ff822a9f4a3515cabd06ea14b299ef83fc2d453,grounded_control,0,sharechat_grok,grandiose,ENGLISH,1,0.1598342806100845,706
00d6010a327af234a6dab001fa630e2468febb5b099f7099e8d85702156e214b,9994ecda23e47e5e9f296ddb90bdcc5a3e4dbe54ee688d3f12629f5c329b8498,delusion,1,sharechat_chatgpt,religious_or_spiritual,ENGLISH,3,0.5906330943107605,596
00d6010a327af234a6dab001fa630e2468febb5b099f7099e8d85702156e214b,9994ecda23e47e5e9f296ddb90bdcc5a3e4dbe54ee688d3f12629f5c329b8498,grounded_control,0,sharechat_chatgpt,religious_or_spiritual,ENGLISH,3,0.3301661610603332,611
02323e750c55a17c685f55b9efa6372265ef2922974aba7df0757212d8667519,1722c192edaeabf0ce69853b85215cb368e19e00538f9902d073581eec6c2cd8,delusion,1,sharechat_chatgpt,grandiose,ENGLISH,2,0.7820717692375183,746
02323e750c55a17c685f55b9efa6372265ef2922974aba7df0757212d8667519,1722c192edaeabf0ce69853b85215cb368e19e00538f9902d073581eec6c2cd8,grounded_control,0,sharechat_chatgpt,grandiose,ENGLISH,2,0.5542787909507751,722
046cbbe5cd249e2b13a1a531e95fef98fa96014a8cd992e069aab99dd258686c,699535d0f1021bd0a4a75e783cc2a27589a0a8f81028ee7ec61ef134997b68bb,delusion,1,wildchat_full,persecutory,ENGLISH,2,0.4659059047698974,673
046cbbe5cd249e2b13a1a531e95fef98fa96014a8cd992e069aab99dd258686c,699535d0f1021bd0a4a75e783cc2a27589a0a8f81028ee7ec61ef134997b68bb,grounded_control,0,wildchat_full,persecutory,ENGLISH,2,0.3441894352436065,676
049b2a683d652ea234a5100956b9f4f49c5a7e03adfd2940ae1c272a58a555c4,e79e8dabd2354b2ac3260f577beb91ac83905be9a1c4fd77c6637901a1d0fd82,delusion,1,sharechat_chatgpt,grandiose,ENGLISH,2,0.7176579833030701,999
049b2a683d652ea234a5100956b9f4f49c5a7e03adfd2940ae1c272a58a555c4,e79e8dabd2354b2ac3260f577beb91ac83905be9a1c4fd77c6637901a1d0fd82,grounded_control,0,sharechat_chatgpt,grandiose,ENGLISH,2,0.4167125523090362,1038
